video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name,split,sync_offset,sync_confidence,sync_min_distance,n_tracks,sync_status,sync_error,crop_path,sync_score
id00292__00072__04707cb96d,id00292,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00072.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00292,RealVideo-RealAudio/Caucasian (European)/men/id00292/00072.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00292/00072.mp4,1,0,0,0,REAL,train,1.0,6.4511823654174805,7.599167346954346,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00292__00072__04707cb96d/00000.avi,0.17374680293153685
id00253__00021__afd4cde503,id00253,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00021.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00253,RealVideo-RealAudio/Caucasian (European)/men/id00253/00021.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00253/00021.mp4,1,0,0,0,REAL,train,-3.0,7.8456950187683105,7.129856586456299,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00253__00021__afd4cde503/00000.avi,0.6143702347254483
id00328__00092__26d6e5e891,id00328,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00092.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00328,RealVideo-RealAudio/Caucasian (European)/women/id00328/00092.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00328/00092.mp4,1,0,0,0,REAL,train,-1.0,5.616654872894287,7.88955020904541,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00328__00092__26d6e5e891/00000.avi,0.10094878386872407
id05920__00161__235f0a0c41,id05920,-,-,real,A,RealVideo-RealAudio,Asian (South),women,00161.mp4,RealVideo-RealAudio/Asian (South)/women/id05920,RealVideo-RealAudio/Asian (South)/women/id05920/00161.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05920/00161.mp4,1,0,0,0,REAL,train,-2.0,5.83288049697876,7.688259601593018,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id05920__00161__235f0a0c41/00000.avi,0.14653840609435675
id00169__00021__e8d744860b,id00169,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00021.mp4,RealVideo-RealAudio/Caucasian (American)/men/id00169,RealVideo-RealAudio/Caucasian (American)/men/id00169/00021.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id00169/00021.mp4,1,0,0,0,REAL,train,0.0,6.642919063568115,7.259493350982666,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00169__00021__e8d744860b/00000.avi,0.08701779817096146
id07210__00005_fake__ddb82af84f,id07210,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (South),men,00005_fake.mp4,RealVideo-FakeAudio/Asian (South)/men/id07210,RealVideo-FakeAudio/Asian (South)/men/id07210/00005_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (South)/men/id07210/00005_fake.mp4,1,0,1,1,FAKE,train,0.0,0.9137363433837892,12.806495666503906,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07210__00005_fake__ddb82af84f/00000.avi,0.34035799934267313
id06437__00028__e9d7ad52d4,id06437,-,-,real,A,RealVideo-RealAudio,Asian (South),women,00028.mp4,RealVideo-RealAudio/Asian (South)/women/id06437,RealVideo-RealAudio/Asian (South)/women/id06437/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06437/00028.mp4,1,0,0,0,REAL,train,-1.0,5.595279693603516,8.39083194732666,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06437__00028__e9d7ad52d4/00000.avi,0.20270668860630728
id00332__00293__8cd97296f4,id00332,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00293.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00332,RealVideo-RealAudio/Caucasian (European)/women/id00332/00293.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00332/00293.mp4,1,0,0,0,REAL,train,-1.0,7.056653022766113,6.966805934906006,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00332__00293__8cd97296f4/00000.avi,0.13995616882130968
id00579__00030__6e9ca83e32,id00579,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00030.mp4,RealVideo-RealAudio/Asian (East)/women/id00579,RealVideo-RealAudio/Asian (East)/women/id00579/00030.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id00579/00030.mp4,1,0,0,0,REAL,val,-2.0,6.203956604003906,8.543572425842285,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00579__00030__6e9ca83e32/00000.avi,0.5444201283328268
id01451__00099__46b05db6f5,id01451,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00099.mp4,RealVideo-RealAudio/Asian (East)/women/id01451,RealVideo-RealAudio/Asian (East)/women/id01451/00099.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id01451/00099.mp4,1,0,0,0,REAL,train,1.0,7.560945987701416,6.655453681945801,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01451__00099__46b05db6f5/00000.avi,0.1589853237888859
id06438__00110_id00488_wavtolip__228632b728,id06438,id00488,-,wav2lip,C,FakeVideo-RealAudio,Asian (South),women,00110_id00488_wavtolip.mp4,FakeVideo-RealAudio/Asian (South)/women/id06438,FakeVideo-RealAudio/Asian (South)/women/id06438/00110_id00488_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id06438/00110_id00488_wavtolip.mp4,1,1,0,1,FAKE,val,-2.0,7.612468242645264,7.578408241271973,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06438__00110_id00488_wavtolip__228632b728/00000.avi,0.6071817725515475
id07383__00011_id06061_tckvmwr97vo__8837b1755b,id07383,id06061,-,fsgan,C,FakeVideo-RealAudio,Asian (East),women,00011_id06061_TckvmWR97vo.mp4,FakeVideo-RealAudio/Asian (East)/women/id07383,FakeVideo-RealAudio/Asian (East)/women/id07383/00011_id06061_TckvmWR97vo.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (East)/women/id07383/00011_id06061_TckvmWR97vo.mp4,1,1,0,1,FAKE,train,-1.0,5.543313980102539,8.87642765045166,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07383__00011_id06061_tckvmwr97vo__8837b1755b/00000.avi,0.3498659692414211
id07078__00405__87c1725073,id07078,-,-,real,A,RealVideo-RealAudio,Asian (South),women,00405.mp4,RealVideo-RealAudio/Asian (South)/women/id07078,RealVideo-RealAudio/Asian (South)/women/id07078/00405.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07078/00405.mp4,1,0,0,0,REAL,train,-9.0,4.98402214050293,9.278668403625488,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07078__00405__87c1725073/00000.avi,0.957265814374331
id06437__00028_id07008_wavtolip__5a7c657537,id06437,id07008,-,wav2lip,C,FakeVideo-RealAudio,Asian (South),women,00028_id07008_wavtolip.mp4,FakeVideo-RealAudio/Asian (South)/women/id06437,FakeVideo-RealAudio/Asian (South)/women/id06437/00028_id07008_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id06437/00028_id07008_wavtolip.mp4,1,1,0,1,FAKE,val,-2.0,9.56672191619873,5.972650527954102,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06437__00028_id07008_wavtolip__5a7c657537/00000.avi,0.5848201821344622
id00589__00130__f98f761625,id00589,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00130.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00589,RealVideo-RealAudio/Caucasian (European)/women/id00589/00130.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00589/00130.mp4,1,0,0,0,REAL,train,-1.0,5.949434280395508,8.953232765197754,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00589__00130__f98f761625/00000.avi,0.5134392138022611
id00919__00063_id00171_wavtolip__63a9485cab,id00919,id00171,-,wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00063_id00171_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00919,FakeVideo-FakeAudio/Caucasian (European)/men/id00919/00063_id00171_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00919/00063_id00171_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,6.605062007904053,7.352510929107666,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00919__00063_id00171_wavtolip__63a9485cab/00000.avi,0.21507154217013907
id03371__00430_fake__4d18bf2c17,id03371,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),women,00430_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/women/id03371,RealVideo-FakeAudio/Caucasian (European)/women/id03371/00430_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/women/id03371/00430_fake.mp4,1,0,1,1,FAKE,train,-7.0,3.149846076965332,12.092865943908691,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03371__00430_fake__4d18bf2c17/00000.avi,0.9884815466757606
id01201__00028__ff5484565e,id01201,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00028.mp4,RealVideo-RealAudio/Caucasian (American)/men/id01201,RealVideo-RealAudio/Caucasian (American)/men/id01201/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id01201/00028.mp4,1,0,0,0,REAL,train,-1.0,7.4337286949157715,7.199345588684082,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01201__00028__ff5484565e/00000.avi,0.28529359562087503
id00234__00063__19591230a6,id00234,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00063.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00234,RealVideo-RealAudio/Caucasian (European)/women/id00234/00063.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00234/00063.mp4,1,0,0,0,REAL,train,-2.0,5.430726051330566,9.09097957611084,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00234__00063__19591230a6/00000.avi,0.5166229848512969
id00373__00028__ddda3a4f12,id00373,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00028.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00373,RealVideo-RealAudio/Caucasian (European)/women/id00373/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00373/00028.mp4,1,0,0,0,REAL,val,-4.0,7.219307899475098,7.150871276855469,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00373__00028__ddda3a4f12/00000.avi,0.5342726443498297
id03965__00051_fake__3c96d09230,id03965,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),men,00051_fake.mp4,RealVideo-FakeAudio/Asian (East)/men/id03965,RealVideo-FakeAudio/Asian (East)/men/id03965/00051_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/men/id03965/00051_fake.mp4,1,0,1,1,FAKE,train,-5.0,1.4596481323242188,11.76491355895996,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03965__00051_fake__3c96d09230/00000.avi,0.6650626964503815
id06065__00160_id06158_c6fphdeweza__a3fdc8a423,id06065,id06158,-,fsgan,C,FakeVideo-RealAudio,Asian (East),women,00160_id06158_C6FpHdewEzA.mp4,FakeVideo-RealAudio/Asian (East)/women/id06065,FakeVideo-RealAudio/Asian (East)/women/id06065/00160_id06158_C6FpHdewEzA.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (East)/women/id06065/00160_id06158_C6FpHdewEzA.mp4,1,1,0,1,FAKE,train,-2.0,3.537020683288574,10.508118629455566,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06065__00160_id06158_c6fphdeweza__a3fdc8a423/00000.avi,0.48055864062669895
id01163__00195_fake__379ebdf4a6,id01163,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (American),men,00195_fake.mp4,RealVideo-FakeAudio/Caucasian (American)/men/id01163,RealVideo-FakeAudio/Caucasian (American)/men/id01163/00195_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (American)/men/id01163/00195_fake.mp4,1,0,1,1,FAKE,train,-5.0,1.9272356033325195,12.388357162475586,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01163__00195_fake__379ebdf4a6/00000.avi,0.9140455550733119
id03556__00043_id00575_ipfjcajq84y__91f6a74976,id03556,id00575,-,fsgan,C,FakeVideo-RealAudio,Caucasian (American),women,00043_id00575_iPfJcAJQ84Y.mp4,FakeVideo-RealAudio/Caucasian (American)/women/id03556,FakeVideo-RealAudio/Caucasian (American)/women/id03556/00043_id00575_iPfJcAJQ84Y.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (American)/women/id03556/00043_id00575_iPfJcAJQ84Y.mp4,1,1,0,1,FAKE,train,-3.0,4.515802383422852,8.227596282958984,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03556__00043_id00575_ipfjcajq84y__91f6a74976/00000.avi,0.10521098609999356
id00306__00015_id01058_2dkbojf3wyo_faceswap_id00535_wavtolip__85a9f56ce4,id00306,id01058,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00015_id01058_2DKbOjf3Wyo_faceswap_id00535_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00306,FakeVideo-FakeAudio/Caucasian (European)/men/id00306/00015_id01058_2DKbOjf3Wyo_faceswap_id00535_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00306/00015_id01058_2DKbOjf3Wyo_faceswap_id00535_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,7.815208435058594,7.674927711486816,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00306__00015_id01058_2dkbojf3wyo_faceswap_id00535_wavtolip__85a9f56ce4/00000.avi,0.7047084530655352
id03781__00113__8bfcf35012,id03781,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00113.mp4,RealVideo-RealAudio/Caucasian (American)/women/id03781,RealVideo-RealAudio/Caucasian (American)/women/id03781/00113.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id03781/00113.mp4,1,0,0,0,REAL,train,0.0,3.829517364501953,9.355856895446776,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03781__00113__8bfcf35012/00000.avi,0.07042093637537251
id02493__00073__18eec1f8bc,id02493,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00073.mp4,RealVideo-RealAudio/Asian (East)/men/id02493,RealVideo-RealAudio/Asian (East)/men/id02493/00073.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id02493/00073.mp4,1,0,0,0,REAL,train,0.0,5.567889213562012,8.061845779418945,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02493__00073__18eec1f8bc/00000.avi,0.08045806072809161
id00685__00146__4d761860b7,id00685,-,-,real,A,RealVideo-RealAudio,Asian (South),men,00146.mp4,RealVideo-RealAudio/Asian (South)/men/id00685,RealVideo-RealAudio/Asian (South)/men/id00685/00146.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/men/id00685/00146.mp4,1,0,0,0,REAL,val,-2.0,5.911185264587402,8.2808837890625,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00685__00146__4d761860b7/00000.avi,0.3413818320493779
id00946__00126__2456c32440,id00946,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00126.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00946,RealVideo-RealAudio/Caucasian (European)/men/id00946/00126.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00946/00126.mp4,1,0,0,0,REAL,train,-1.0,6.351755142211914,7.440958976745605,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00946__00126__2456c32440/00000.avi,0.12353168676831328
id01215__00001__44c9c21f9f,id01215,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00001.mp4,RealVideo-RealAudio/Asian (East)/men/id01215,RealVideo-RealAudio/Asian (East)/men/id01215/00001.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id01215/00001.mp4,1,0,0,0,REAL,val,3.0,2.223238945007324,10.481789588928224,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01215__00001__44c9c21f9f/00000.avi,0.19678227153035696
id01005__00028_id00841_fpseficagxk_id00025_wavtolip__ff0c4cd3aa,id01005,id00841,id00025,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),women,00028_id00841_fpsEfICAgxk_id00025_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/women/id01005,FakeVideo-FakeAudio/Caucasian (American)/women/id01005/00028_id00841_fpsEfICAgxk_id00025_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/women/id01005/00028_id00841_fpsEfICAgxk_id00025_wavtolip.mp4,1,1,1,1,FAKE,val,-2.0,6.616034984588623,7.785284042358398,2.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01005__00028_id00841_fpseficagxk_id00025_wavtolip__ff0c4cd3aa/00001.avi,0.36594603515360635
id03656__00052__1f0b842ac7,id03656,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,RealVideo-RealAudio/African/women/id03656,RealVideo-RealAudio/African/women/id03656/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03656/00052.mp4,1,0,0,0,REAL,val,-1.0,5.602644920349121,8.328866004943848,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03656__00052__1f0b842ac7/00000.avi,0.18783117277223912
id01598__00044__c12721510d,id01598,-,-,real,A,RealVideo-RealAudio,African,men,00044.mp4,RealVideo-RealAudio/African/men/id01598,RealVideo-RealAudio/African/men/id01598/00044.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01598/00044.mp4,1,0,0,0,REAL,train,3.0,4.388410568237305,8.83483600616455,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01598__00044__c12721510d/00000.avi,0.21644347820127194
id00519__00028_id02567_wavtolip__9d37ac4a17,id00519,id02567,-,wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00028_id02567_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00519,FakeVideo-FakeAudio/Caucasian (European)/men/id00519/00028_id02567_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00519/00028_id02567_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,8.221689224243164,7.323453426361084,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00519__00028_id02567_wavtolip__9d37ac4a17/00000.avi,0.6944494063040818
id01683__00052_2__975eb2dc15,id01683,2.mp4,-,faceswap,C,FakeVideo-RealAudio,Asian (East),men,00052_2.mp4,FakeVideo-RealAudio/Asian (East)/men/id01683,FakeVideo-RealAudio/Asian (East)/men/id01683/00052_2.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (East)/men/id01683/00052_2.mp4,1,1,0,1,FAKE,train,-1.0,4.322149276733398,8.952751159667969,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01683__00052_2__975eb2dc15/00000.avi,0.10659795718091852
id00701__00092_id01779_wavtolip__1558d9eb2b,id00701,id01779,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00092_id01779_wavtolip.mp4,FakeVideo-FakeAudio/African/men/id00701,FakeVideo-FakeAudio/African/men/id00701/00092_id01779_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/African/men/id00701/00092_id01779_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,7.546390533447266,6.783238410949707,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00701__00092_id01779_wavtolip__1558d9eb2b/00000.avi,0.2699646239634922
id00185__00015_fake__5af844a46a,id00185,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),men,00015_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/men/id00185,RealVideo-FakeAudio/Caucasian (European)/men/id00185/00015_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/men/id00185/00015_fake.mp4,1,0,1,1,FAKE,val,-1.0,0.9811363220214844,12.904962539672852,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00185__00015_fake__5af844a46a/00000.avi,0.5173834113586805
id07236__00143_id07008_wavtolip__959b09a653,id07236,id07008,-,wav2lip,D,FakeVideo-FakeAudio,Asian (South),women,00143_id07008_wavtolip.mp4,FakeVideo-FakeAudio/Asian (South)/women/id07236,FakeVideo-FakeAudio/Asian (South)/women/id07236/00143_id07008_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (South)/women/id07236/00143_id07008_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,5.953754425048828,8.355293273925781,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07236__00143_id07008_wavtolip__959b09a653/00000.avi,0.38353268256388
id00418__00052__d2beecd764,id00418,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00052.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00418,RealVideo-RealAudio/Caucasian (American)/women/id00418/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00418/00052.mp4,1,0,0,0,REAL,train,-3.0,3.957622528076172,8.329216003417969,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00418__00052__d2beecd764/00000.avi,0.062004186131382685
